"","cntry","age","2023","2024","2025","2026","2027","2028"
"1","KEN",0,0.0204836023155188,0.01940538617271,0.0208325957643685,0.0211522054530321,0.0200609935704985,0.0186928357152495
"2","KEN",1,0.0193104781729365,0.0199802526474245,0.0202146980348064,0.0201953539659851,0.0212936607968411,0.0191663015438006
"3","KEN",2,0.0202995456332272,0.0197437468382246,0.0213245886409723,0.0200743431397433,0.0215798726619071,0.0205655402598334
"4","KEN",3,0.0182929306667989,0.0200792104329763,0.019743456099194,0.0206896489010552,0.02009295093643,0.0208490056039082
"5","KEN",4,0.0196091592018664,0.0207755137201902,0.0205165463475841,0.0212533021676416,0.0208031914789758,0.0186318114720878
"6","AGO",0,0.0201877451946005,0.0218825412110571,0.0205709644271351,0.0184125717426852,0.0192420617379136,0.0201264500049952
"7","AGO",1,0.0199473722488602,0.0193013158962568,0.0196168741728551,0.0202221947907749,0.0190243271926806,0.0203680118849151
"8","AGO",2,0.0199512735676437,0.0208816636842983,0.0219302905026953,0.0201113432940989,0.0195700049673057,0.0208031495562502
"9","AGO",3,0.0198113450702892,0.0199205732337138,0.0205151524477868,0.020925106712917,0.0193537241549152,0.0190220569252798
"10","AGO",4,0.0213480942648977,0.0207786749385937,0.0190626827672749,0.0195879129818637,0.0205866006401221,0.02152091097271
"11","ZWE",0,0.019559728540112,0.018828768380291,0.0208444271675718,0.0211868152253349,0.0202830954075812,0.0189321448598338
"12","ZWE",1,0.0184669309485264,0.0195222275197825,0.0196374522965347,0.0192564662587087,0.0201921567645425,0.0191886047122864
"13","ZWE",2,0.0220139636100198,0.0218461620781683,0.0210856877435952,0.0201900591769066,0.0183118296039498,0.0204591872566186
"14","ZWE",3,0.0202196464023044,0.019562218956955,0.0202563998513483,0.0190137823523482,0.0206495662558787,0.0211827337635476
"15","ZWE",4,0.0214016892246489,0.0188135285532032,0.0192814511269789,0.0204968906122694,0.0211111245358797,0.0201954023460212
